target,model,test_year,feature,mean_abs_shap,mean_shap,importance_rank
Top10,M0_baseline,2024,qualifying_position,0.6801284704230778,-0.00266344488867067,1.0
Top10,M0_baseline,2024,driver_points_mean_last3,0.12292090540792296,-0.0038082066301124546,5.0
Top10,M0_baseline,2024,team_points_mean_last3,0.18125194941987263,0.024547057403688052,4.0
Top10,M0_baseline,2024,driver_incident_rate_last10,0.007720238479296891,0.004129700041766516,10.0
Top10,M0_baseline,2024,driver_previous_starts,0.08528534390515323,0.05477891226092833,6.0
Top10,M0_baseline,2024,exposure_history_count,0.00804364585766475,0.00035567806773973337,9.0
Top10,M0_baseline,2024,DriverId,0.24746782284088392,0.06357812511645276,3.0
Top10,M0_baseline,2024,TeamId,0.40364677745216915,0.09726715634843605,2.0
Top10,M0_baseline,2024,location,0.031909571788102976,-0.0036802869648468167,8.0
Top10,M0_baseline,2024,season,0.06249341465616725,-0.050252865804570085,7.0
Top10,M1S_symmetric_qualifying,2024,qualifying_position,0.7158435382753038,-0.015980737069639348,1.0
Top10,M1S_symmetric_qualifying,2024,driver_points_mean_last3,0.1408569382759768,-0.010189216333384777,5.0
Top10,M1S_symmetric_qualifying,2024,team_points_mean_last3,0.19487834039409882,-0.016813094049005228,3.0
Top10,M1S_symmetric_qualifying,2024,driver_incident_rate_last10,0.009876678011134793,0.002444870088252051,10.0
Top10,M1S_symmetric_qualifying,2024,driver_previous_starts,0.08283372923231,0.05728549729306927,6.0
Top10,M1S_symmetric_qualifying,2024,exposure_history_count,0.006338607291619672,-7.273858641246776e-05,11.0
Top10,M1S_symmetric_qualifying,2024,DriverId,0.1947315565358356,0.021108895402014015,4.0
Top10,M1S_symmetric_qualifying,2024,TeamId,0.4318411883956396,0.12036603636997682,2.0
Top10,M1S_symmetric_qualifying,2024,location,0.02583937302501125,0.003444934954154432,8.0
Top10,M1S_symmetric_qualifying,2024,season,0.0678724618195182,-0.047208167333942015,7.0
Top10,M1S_symmetric_qualifying,2024,qualifying_surprise,0.01322344570381106,0.0015675958649854528,9.0
Top10,M1A_asymmetric_qualifying,2024,qualifying_position,0.6963494489943308,0.05544354546145767,1.0
Top10,M1A_asymmetric_qualifying,2024,driver_points_mean_last3,0.17408684902233276,-0.07591753039756095,4.0
Top10,M1A_asymmetric_qualifying,2024,team_points_mean_last3,0.16247177216055458,-0.027284885626687044,5.0
Top10,M1A_asymmetric_qualifying,2024,driver_incident_rate_last10,0.002717150568310752,0.0024158786399810753,12.0
Top10,M1A_asymmetric_qualifying,2024,driver_previous_starts,0.09531729881567144,0.060530576630038455,6.0
Top10,M1A_asymmetric_qualifying,2024,exposure_history_count,0.009581431269393047,-0.0010469497278918019,9.0
Top10,M1A_asymmetric_qualifying,2024,DriverId,0.21723115898995782,0.04577693902766571,3.0
Top10,M1A_asymmetric_qualifying,2024,TeamId,0.3715633119913776,0.07366085190708682,2.0
Top10,M1A_asymmetric_qualifying,2024,location,0.035840310218538174,0.020736865990615166,8.0
Top10,M1A_asymmetric_qualifying,2024,season,0.05246570186117113,0.0008755478464710856,7.0
Top10,M1A_asymmetric_qualifying,2024,positive_qualifying_surprise,0.0032990470878937524,-0.0007809635162850534,11.0
Top10,M1A_asymmetric_qualifying,2024,negative_qualifying_surprise,0.009500900027133179,-0.005084599984331313,10.0
Top10,M2S_symmetric_gain_loss,2024,qualifying_position,0.7142749371995761,-0.01138141185022677,1.0
Top10,M2S_symmetric_gain_loss,2024,driver_points_mean_last3,0.15944132709890405,-0.03162502652295181,5.0
Top10,M2S_symmetric_gain_loss,2024,team_points_mean_last3,0.1773609850071578,0.0023686273102226964,3.0
