target,model,feature,mean_abs_shap,mean_shap,n,importance_share,importance_rank
Podium,M2A_asymmetric_gain_loss,driver_points_mean_last3,0.3188079869781287,0.012550507688512826,1022,0.14733672726754876,2.0
Podium,M2A_asymmetric_gain_loss,TeamId,0.2674783363637306,0.07106096832103687,1022,0.12361479104820627,3.0
Podium,M2A_asymmetric_gain_loss,season,0.2535550823135976,0.25299447307022016,1022,0.11718017595557381,4.0
Podium,M2A_asymmetric_gain_loss,team_points_mean_last3,0.17915333598482971,0.008403646411987068,1022,0.08279549848567386,5.0
Podium,M2A_asymmetric_gain_loss,DriverId,0.14972861020511388,0.01961556015622028,1022,0.06919689690036972,6.0
Podium,M2A_asymmetric_gain_loss,driver_previous_starts,0.05093009145282518,0.0013386508029453368,1022,0.023537280433977997,7.0
Podium,M2A_asymmetric_gain_loss,recent_gain_exposure,0.0413218699712472,-0.008048614296516878,1022,0.019096852446662305,8.0
Podium,M2A_asymmetric_gain_loss,recent_loss_exposure,0.03201689148048091,-0.0057654948826426616,1022,0.014796567842379501,9.0
Podium,M2A_asymmetric_gain_loss,driver_incident_rate_last10,0.029030181046002825,0.023670223813953704,1022,0.013416263211736642,10.0
Podium,M2A_asymmetric_gain_loss,location,0.027144288360092507,-0.023184152135834177,1022,0.01254470017796956,11.0
Podium,M2A_asymmetric_gain_loss,exposure_history_count,0.006390005173758716,-0.00042098754255621133,1022,0.0029531331960917983,12.0
Podium,M2S_symmetric_gain_loss,qualifying_position,0.8130295701880265,0.03327827590766614,1022,0.38000064430145203,1.0
Podium,M2S_symmetric_gain_loss,driver_points_mean_last3,0.33086070057485084,0.018103851288230485,1022,0.15464047557753233,2.0
Podium,M2S_symmetric_gain_loss,season,0.25794958080470204,0.256660120704417,1022,0.12056265909296172,3.0
Podium,M2S_symmetric_gain_loss,TeamId,0.25741360666827146,0.031172379086052377,1022,0.12031215096307239,4.0
Podium,M2S_symmetric_gain_loss,team_points_mean_last3,0.20549025873577415,-0.006141648660367761,1022,0.09604377697997808,5.0
Podium,M2S_symmetric_gain_loss,DriverId,0.14071136832957626,0.004285218890271089,1022,0.06576687070977258,6.0
Podium,M2S_symmetric_gain_loss,driver_previous_starts,0.06745580402825879,0.02978041706783302,1022,0.03152806482386946,7.0
Podium,M2S_symmetric_gain_loss,location,0.03009511906659255,-0.007986398015341399,1022,0.014066111559742262,8.0
Podium,M2S_symmetric_gain_loss,driver_incident_rate_last10,0.016483456960332526,0.012021239976254611,1022,0.007704177676825487,9.0
Podium,M2S_symmetric_gain_loss,net_recent_deviation,0.015908718975317687,-0.0018528771115560163,1022,0.007435551771177739,10.0
Podium,M2S_symmetric_gain_loss,exposure_history_count,0.004149688495206027,-0.00045635050179261094,1022,0.0019395165436159136,11.0
Podium,M3A_full_asymmetric,qualifying_position,0.7939708931564078,0.04514882950613069,1022,0.36710646492011184,1.0
Podium,M3A_full_asymmetric,driver_points_mean_last3,0.30260681250772387,0.016975053871252036,1022,0.13991560415876567,2.0
Podium,M3A_full_asymmetric,TeamId,0.2361386902633442,0.045807256613347565,1022,0.10918289393307075,3.0
Podium,M3A_full_asymmetric,team_points_mean_last3,0.22936729414654836,0.00023376020801196796,1022,0.10605201934757004,4.0
Podium,M3A_full_asymmetric,season,0.20943760461125416,0.20770741860144262,1022,0.0968371754089322,5.0
Podium,M3A_full_asymmetric,DriverId,0.16268537627979424,0.0060593350852825014,1022,0.0752204569399856,6.0
Podium,M3A_full_asymmetric,recent_loss_exposure,0.049664249466297765,-0.01062197329227544,1022,0.022963142870391733,7.0
